naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Spiraea japonica 'Genpei',https: / www.ebben.nl / nl / treeebb / spjgenpe-spiraea-japonica-genpei,solitair heesters,onderbeplanting / bodembedekker,,,"0,5 - 0,8 m","0,5 - 1 m",,,4A - 8B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt hitte,veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal,klimaatbeplanting / stedelijke beplanting / ecobeplanting,park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin,geen,,
Spiraea japonica 'Little Princess',https: / www.ebben.nl / nl / treeebb / spjlprin-spiraea-japonica-little-princess,solitair heesters,onderbeplanting / bodembedekker,,,"0,5 - 0,5 m","0,6 - 0,8 m",,,4A - 9B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,ecobeplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Spiraea nipponica,https: / www.ebben.nl / nl / treeebb / spnippon-spiraea-nipponica,solitair heesters,,,,1 - 3 m,1 - 3 m,,,5A - 8B,,droog,verdraagt luchtverontreiniging,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie",,,
Spiraea thunbergii,https: / www.ebben.nl / nl / treeebb / spthunbe-spiraea-thunbergii,bosplantsoen,onderbeplanting / bodembedekker,,,"0,8 - 1 m","0,8 - 1 m",gesloten,vaas,5A - 9B,,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie",geen,,
Spiraea x vanhouttei,https: / www.ebben.nl / nl / treeebb / spvanhou-spiraea-x-vanhouttei,bosplantsoen / solitair heesters,onderbeplanting,,,"1,5 - 2,5 m","1,5 - 2,5 m",gesloten,vaas,4A - 9B,bijen,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,groenstrook / grote tuin / begraafplaats,geen,,
Staphylea colchica,https: / www.ebben.nl / nl / treeebb / stcolchi-staphylea-colchica,solitair heesters,,meerstammig parasol,,2 - 4 m,3 - 5 m,open,vaas,6A - 8B,,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,voedselbos,groenstrook / grote tuin / kleine tuin,geen,,
Stephanandra incisa 'Crispa',https: / www.ebben.nl / nl / treeebb / sticrisp-stephanandra-incisa-crispa,solitair heesters,onderbeplanting / bodembedekker,,,"1 - 1,8 m","0,5 - 1 m",,,5A - 7B,bijen / vlinders / nectarwaarde 3 / pollenwaarde 0,droog,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,stedelijke beplanting / ecobeplanting,"straat / laan / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Styrax japonicus,https: / www.ebben.nl / nl / treeebb / stjaponi-styrax-japonicus,hoogstam bomen / meerstammige bomen / schaduwbomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,6 - 8 m,10 - 15 m,halfopen,breed piramidaal,6B - 9B,bijen / vogels / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / groenstrook / grote tuin / begraafplaats,geen,,
Styphnolobium japonicum 'Columnaris',https: / www.ebben.nl / nl / treeebb / stjcolum-styphnolobium-japonicum-columnaris,hoogstam bomen,,,,5 - 7 m,12 - 15 m,gesloten,smal ovaal,6A - 9B,,zeer droog / droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styrax japonicus 'Evening Light',https: / www.ebben.nl / nl / treeebb / stjelight-styrax-japonicus-evening-light,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,,,2 - 4 m,4 - 6 m,halfopen,smal ovaal,6B - 9B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,vochtig,curiositeit,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Styrax japonicus var. fargesii,https: / www.ebben.nl / nl / treeebb / stjfarge-styrax-japonicus-var-fargesii,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,6 - 9 m,12 - 15 m,halfopen,ovaal,6B - 8B,bijen / vogels / nectarwaarde 1 / pollenwaarde 1,vochtig,curiositeit,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / grote tuin / begraafplaats,geen,,
Styphnolobium japonicum 'Fastigiata',https: / www.ebben.nl / nl / treeebb / stjfasti-styphnolobium-japonicum-fastigiata,hoogstam bomen,,,,3 - 6 m,15 - 20 m,gesloten,zuil,6A - 9B,,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styphnolobium japonicum 'Fleright',https: / www.ebben.nl / nl / treeebb / stjfleri-styphnolobium-japonicum-fleright,hoogstam bomen,,,,6 - 8 m,12 - 15 m,gesloten,eirond,5A - 9B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styphnolobium japonicum 'Harry van Haaren',https: / www.ebben.nl / nl / treeebb / stjhhaar-styphnolobium-japonicum-harry-van-haaren,hoogstam bomen,,,,12 - 18 m,15 - 20 m,halfopen,rond,5A - 9B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styrax japonicus 'June Snow',https: / www.ebben.nl / nl / treeebb / stjjsnow-styrax-japonicus-june-snow,hoogstam bomen / beveerde bomen,,,,2 - 3 m,10 - 12 m,halfopen,zuil,6B - 9B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,,straat / park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Styrax japonicus 'Purple Haze',https: / www.ebben.nl / nl / treeebb / stjphaze-styrax-japonicus-purple-haze,hoogstam bomen / karakteristieke bomen,,,,3 - 4 m,4 - 6 m,halfopen,rond / breed eirond / breed piramidaal,6B - 9B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,vochtig,curiositeit,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Styphnolobium japonicum var. pubescens,https: / www.ebben.nl / nl / treeebb / stjpubes-styphnolobium-japonicum-var-pubescens,hoogstam bomen,,,,12 - 15 m,15 - 20 m,halfopen,vaas,5A - 9B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styphnolobium japonicum 'Regent',https: / www.ebben.nl / nl / treeebb / stjregen-styphnolobium-japonicum-regent,hoogstam bomen / meerstammige bomen / klimaatbomen,,meerstammig parasol,,8 - 10 m,12 - 15 m,halfopen,breed ovaal,5A - 9B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,klimaatbeplanting / ecobeplanting / solide beplanting / stedelijke beplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styrax japonicus SNOWCONE,https: / www.ebben.nl / nl / treeebb / stjsnow-styrax-japonicus-snowcone,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,,,3 - 5 m,6 - 8 m,halfopen,piramidaal,6B - 9A,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,vochtig,curiositeit,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,,groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Stewartia monadelpha,https: / www.ebben.nl / nl / treeebb / stmonade-stewartia-monadelpha,solitair heesters,,,,4 - 5 m,6 - 9 m,halfopen,ovaal / breed piramidaal,7A - 9A,bijen,vochtig,curiositeit,löss / zavel / veen / zand / lemige grond,halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / grote tuin / kleine tuin / begraafplaats,geen,,
Styrax obassia,https: / www.ebben.nl / nl / treeebb / stobassi-styrax-obassia,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,5 - 8 m,10 - 15 m,halfopen,rond,6B - 9B,bijen / vogels,vochtig,curiositeit,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,park / grote tuin / begraafplaats,geen,,
Staphylea pinnata,https: / www.ebben.nl / nl / treeebb / stpinnat-staphylea-pinnata,solitair heesters,,,,2 - 4 m,2 - 5 m,open,rond,5B - 9B,bijen,vochtig,,löss / zand / lemige grond,zon,matig voedselrijk,verdraagt wind,neutraal / basisch,voedselbos,park / groenstrook / grote tuin / kleine tuin,geen,,
Stewartia pseudocamellia 'Koreana',https: / www.ebben.nl / nl / treeebb / stpkorea-stewartia-pseudocamellia-koreana,hoogstam bomen / meerstammige bomen / karakteristieke bomen,,,,4 - 5 m,10 - 12 m,halfopen,ovaal / breed piramidaal,6B - 8B,bijen,vochtig,,löss / zavel / veen / zand / lemige grond,halfschaduw,voedselrijk,verdraagt geen wind,zuur / neutraal,,park / grote tuin / kleine tuin / begraafplaats,geen,,
Stachyurus praecox,https: / www.ebben.nl / nl / treeebb / stpraeco-stachyurus-praecox,solitair heesters,,,,"2,5 - 3 m","2,5 - 3 m",halfopen,vaas,7A - 8B,,vochtig,,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal,,park / groenstrook / grote tuin / kleine tuin,geen,,
Stewartia pseudocamellia,https: / www.ebben.nl / nl / treeebb / stpseudo-stewartia-pseudocamellia,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,,,4 - 6 m,10 - 15 m,halfopen,breed piramidaal,6B - 11A,bijen,vochtig,,löss / zavel / veen / zand / lemige grond,halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,park / grote tuin / begraafplaats,geen,,
Stewartia rostrata,https: / www.ebben.nl / nl / treeebb / strostra-stewartia-rostrata,solitair heesters,,,,2 - 5 m,3 - 8 m,open,breed piramidaal,6B - 11A,bijen,vochtig,curiositeit,löss / zavel / veen / zand / lemige grond,halfschaduw,voedselrijk,verdraagt geen wind,zuur,,park / grote tuin / kleine tuin / begraafplaats,geen,,
Stipa tenuissima,https: / www.ebben.nl / nl / treeebb / sttenuis-stipa-tenuissima,,onderbeplanting / grassen en bamboes,,,"0,45 - 0,45 m","0,7 - 0,8 m",,,7A - 10B,,droog,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon,matig voedselrijk,verdraagt wind / verdraagt zeewind,neutraal,landschappelijke beplanting / stedelijke beplanting,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Styphnolobium japonicum,https: / www.ebben.nl / nl / treeebb / styjapon-styphnolobium-japonicum,hoogstam bomen / meerstammige bomen / karakteristieke bomen,,vaas / meerstammig parasol,,15 - 18 m,15 - 18 m,halfopen,breed eirond,6A - 9B,bijen / nectarwaarde 5 / pollenwaarde 5,zeer droog / droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting / solide beplanting / stedelijke beplanting,"straat / laan / plein / parkeerplaats / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Styphnolobium japonicum 'Pendula',https: / www.ebben.nl / nl / treeebb / styjpend-styphnolobium-japonicum-pendula,hoogstam bomen / halfstam bomen / karakteristieke bomen,,meerstammig parasol,,5 - 10 m,4 - 8 m,gesloten,breed treur,5A - 9B,,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,stedelijke beplanting,"plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Symphoricarpos albus,https: / www.ebben.nl / nl / treeebb / syalbus-symphoricarpos-albus,bosplantsoen,onderbeplanting,,,1 - 2 m,1 - 2 m,gesloten,rond,3A - 8B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant / ecobeplanting,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / windsingel",geen,2a,ingeburgerd
Symphoricarpos x chenaultii 'Hancock',https: / www.ebben.nl / nl / treeebb / sychanco-symphoricarpos-x-chenaultii-hancock,solitair heesters,onderbeplanting / bodembedekker,,,"0,5 - 1 m","0,8 - 1 m",,,4A - 7A,bijen / vogels / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting / schaduwtolerant / ecobeplanting,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Symphoricarpos x chenaultii,https: / www.ebben.nl / nl / treeebb / sychenau-symphoricarpos-x-chenaultii,bosplantsoen,onderbeplanting / bodembedekker,,,"1,5 - 2 m","1,5 - 2 m",,,4A - 8B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt strooizout,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / schaduwtolerant,park / groenstrook / grote tuin / begraafplaats,geen,,
Syringa chinensis,https: / www.ebben.nl / nl / treeebb / sychinen-syringa-chinensis,solitair heesters,,,,0 - 0 m,2 - 3 m,,,3A - 7B,,vochtig,,alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,,,park / groenstrook / grote tuin / kleine tuin,geen,,
Symphoricarpos x doorenbosii 'Magic Berry',https: / www.ebben.nl / nl / treeebb / sydmberr-symphoricarpos-x-doorenbosii-magic-berry,bosplantsoen,onderbeplanting / bodembedekker,,,"0 - 0,9 m","0 - 0,6 m",,,4A - 7A,bijen / vogels,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / stedelijke beplanting / ecobeplanting / landschappelijke beplanting,"laan / park / groenstrook / grote tuin / verkeer, industrie",geen,,
Symphoricarpos x doorenbosii 'Mother of Pearl',https: / www.ebben.nl / nl / treeebb / sydmpear-symphoricarpos-x-doorenbosii-mother-of-pearl,bosplantsoen,,,,1 - 2 m,1 - 2 m,,,4A - 7B,,vochtig,,zavel / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,,park / groenstrook / bakken / containers / grote tuin,geen,,
Syringa josikaea,https: / www.ebben.nl / nl / treeebb / syjosika-syringa-josikaea,halfstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 4 m,2 - 4 m,gesloten,vaas,3A - 8B,bijen,droog,verdraagt luchtverontreiniging,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / verkeer, industrie",geen,,
Syringa meyeri 'Palibin',https: / www.ebben.nl / nl / treeebb / sympalib-syringa-meyeri-palibin,solitair heesters,,,,"1 - 1,2 m","1 - 1,2 m",gesloten,vaas,5B - 7B,bijen / vlinders,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind,zuur / neutraal / basisch,,grote tuin / kleine tuin,geen,,
Syringa microphylla 'Superba',https: / www.ebben.nl / nl / treeebb / symsuper-syringa-microphylla-superba,solitair heesters,,,,1 - 2 m,1 - 2 m,,,5B - 8B,,droog / vochtig,verdraagt luchtverontreiniging,lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind,zuur / neutraal,,"park / groenstrook / grote tuin / kleine tuin / verkeer, industrie",,,
Syringa pekinensis 'China Snow',https: / www.ebben.nl / nl / treeebb / sypcsnow-syringa-pekinensis-china-snow,hoogstam bomen / meerstammige bomen / klimaatbomen,,,,4 - 8 m,5 - 9 m,halfopen,rond,5A - 9B,bijen / vlinders,droog / vochtig,verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,klimaatbeplanting,"straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Syringa pekinensis,https: / www.ebben.nl / nl / treeebb / sypekine-syringa-pekinensis,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 6 m,6 - 9 m,halfopen,breed vaas,5A - 13A,bijen / vlinders,droog / vochtig,verdraagt strooizout / verdraagt droogte,löss / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,stedelijke beplanting,park / groenstrook / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Syringa reticulata,https: / www.ebben.nl / nl / treeebb / syreticu-syringa-reticulata,hoogstam bomen / meerstammige bomen,,,,4 - 6 m,6 - 9 m,gesloten,vaas,4A - 7B,,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,,"straat / park / groenstrook / grote tuin / kleine tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Syringa reticulata 'Ivory Silk',https: / www.ebben.nl / nl / treeebb / syrisilk-syringa-reticulata-ivory-silk,hoogstam bomen / halfstam bomen,,,,4 - 6 m,6 - 8 m,gesloten,rond,4A - 7B,,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,straat / laan / plein / park / grote tuin / kleine tuin,geen / open / dicht,,
xSycoparrotia semidecidua AUTUNNO ROSSO,https: / www.ebben.nl / nl / treeebb / sysaross-xsycoparrotia-semidecidua-autunno-rosso,hoogstam bomen / beveerde bomen,,,,3 - 4 m,4 - 6 m,gesloten,eirond,7A - 9B,,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,,"straat / plein / parkeerplaats / park / groenstrook / bakken / containers / grote tuin / kleine tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
xSycoparrotia semidecidua,https: / www.ebben.nl / nl / treeebb / sysemide-xsycoparrotia-semidecidua,hoogstam bomen / beveerde bomen / meerstammige bomen / karakteristieke bomen,,meerstammig parasol,,4 - 5 m,5 - 8 m,gesloten,breed eirond,7A - 9A,bijen,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,,straat / plein / parkeerplaats / park / groenstrook / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen / open / dicht,,
xSycoparrotia semidecidua 'Prins Claus',https: / www.ebben.nl / nl / treeebb / syspclau-xsycoparrotia-semidecidua-prins-claus,hoogstam bomen,,,,2 - 4 m,5 - 8 m,gesloten,smal eirond / smal piramidaal,7A - 9A,,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,,"straat / plein / parkeerplaats / park / groenstrook / bakken / containers / grote tuin / kleine tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
xSycoparrotia semidecidua 'Purple Haze',https: / www.ebben.nl / nl / treeebb / sysphaze-xsycoparrotia-semidecidua-purple-haze,hoogstam bomen / beveerde bomen,,,,3 - 4 m,4 - 6 m,gesloten,eirond / piramidaal,7A - 9B,,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal,,"straat / plein / parkeerplaats / park / groenstrook / bakken / containers / grote tuin / kleine tuin / begraafplaats / verkeer, industrie",geen / open / dicht,,
Syringa vulgaris 'Andenken an Ludwig Späth',https: / www.ebben.nl / nl / treeebb / syvalspa-syringa-vulgaris-andenken-an-ludwig-spath,meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Charles Joly',https: / www.ebben.nl / nl / treeebb / syvcjoly-syringa-vulgaris-charles-joly,meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,voedselbos,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Katherine Havemeyer',https: / www.ebben.nl / nl / treeebb / syvkhave-syringa-vulgaris-katherine-havemeyer,meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Krasavitsa Moskvy',https: / www.ebben.nl / nl / treeebb / syvkmosk-syringa-vulgaris-krasavitsa-moskvy,solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 9B,vlinders,vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Mme Lemoine',https: / www.ebben.nl / nl / treeebb / syvlemoi-syringa-vulgaris-mme-lemoine,meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 4 m,halfopen,vaas,4A - 8B,vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
