naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
Fraaie vrouwenmantel,Alchemilla mollis,nee,zon,vochtig,,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.3,0.5,4A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Bergvrouwenmantel,Alchemilla monticola,ja,halfschaduw / zon,droog / vochtig / nat,,6.708333333333334,6.0,8.0,5.276041666666666,4.0,7.25,3.9375,3.0,5.0,4.476190476190475,3.0,6.0,5.428571428571429,3.0,6.0,0.0,0.0,0.0,,,,
Geplooide vrouwenmantel,Alchemilla subcrenata,ja,zon,droog / vochtig / nat,,7.071428571428571,7.0,7.5,5.107142857142857,4.0,6.75,3.75,3.0,4.0,5.666666666666667,5.0,6.0,5.166666666666667,5.0,6.0,0.0,0.0,0.0,,,,
,Alchemilla vetteri,,zon,droog / vochtig,,8.0,7.0,9.0,4.5,4.0,5.0,3.0,3.0,3.0,5.5,5.0,6.0,6.5,5.0,8.0,0.0,0.0,0.0,,,,
Geelgroene vrouwenmantel,Alchemilla xanthochlora,ja,halfschaduw / zon,vochtig / nat,,6.5,6.0,9.0,6.0,5.0,7.0,3.875,2.0,5.0,4.166666666666667,1.0,7.0,5.875,5.0,7.0,0.0,0.0,0.0,,,,
,Aldrovanda,,,,,,,,,,,,,,,,,,,,,,,,,,
Watervliegenval,Aldrovanda vesiculosa,,halfschaduw / zon,zeer nat,,5.916666666666667,5.0,7.0,11.5,10.0,12.0,7.607142857142857,6.25,9.0,4.0,3.0,5.0,5.8,4.0,7.0,0.0,0.0,0.0,,,,
Waterweegbree (G),Alisma,,,,,,,,,,,,,,,,,,,,,,,,,,
Smalle waterweegbree,Alisma gramineum,ja,zon,zeer nat,,7.214285714285714,7.0,8.0,10.392857142857142,9.0,11.0,6.75,5.25,8.0,4.833333333333333,4.0,7.0,6.5,5.0,7.0,0.16666666666666666,0.0,1.0,,,,
Slanke waterweegbree,Alisma lanceolatum,ja,zon,zeer nat,,7.277777777777778,7.0,8.0,10.13888888888889,9.25,12.0,6.777777777777778,4.0,11.0,5.875,4.0,7.0,6.625,5.0,7.0,0.14285714285714285,0.0,1.0,,,,
Slanke / Grote waterweegbree,Alisma lanceolatum / plantago-aquatica,,,,,,,,,,,,,,,,,,,,,,,,,,
Grote waterweegbree,Alisma plantago-aquatica,ja,halfschaduw / zon,zeer nat,,6.944444444444445,6.0,7.5,10.068181818181818,9.0,12.0,5.666666666666667,3.0,11.0,7.333333333333333,5.0,8.0,6.4,5.0,7.0,0.14285714285714285,0.0,1.0,,,,
,Alisma subcordatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Grote x Smalle waterweegbree,Alisma x bjoerkqvistii,,,,,,,,,,,,,,,,,,,,,,,,,,
Grote x Slanke waterweegbree,Alisma x rhicnocarpum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alkekengi,,,,,,,,,,,,,,,,,,,,,,,,,,
Echte lampionplant,Alkekengi officinarum,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliaria (G),Alliaria,,,,,,,,,,,,,,,,,,,,,,,,,,
Look-zonder-look,Alliaria petiolata,ja,halfschaduw / zon,vochtig / nat,,5.1875,4.0,7.0,5.375,5.0,7.0,5.9375,5.0,7.0,8.0,6.0,9.0,7.285714285714286,7.0,9.0,0.0,0.0,0.0,,,,
Look (G),Allium,,,,,,,,,,,,,,,,,,,,,,,,,,
Prei,Allium ampeloprasum,,zon,droog / vochtig,,7.75,7.0,8.0,3.875,3.0,5.0,8.25,6.0,11.0,6.125,5.0,8.0,6.625,5.0,8.0,0.25,0.0,1.0,,,,
,Allium atropurpureum,,zon,droog,,7.0,7.0,7.0,4.0,4.0,4.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Berglook,Allium carinatum,ja,zon,zeer droog / droog / vochtig,,7.928571428571429,7.0,9.0,3.53125,2.0,5.0,5.75,5.0,8.0,2.5833333333333335,1.0,4.0,7.333333333333333,6.0,8.0,0.16666666666666666,0.0,1.0,,,,
Ui,Allium cepa,,zon,droog / vochtig,,7.666666666666667,7.0,8.0,5.0,4.0,6.0,7.666666666666667,6.0,9.0,6.666666666666667,5.0,8.0,5.666666666666667,5.0,7.0,0.0,0.0,0.0,,,,
Sterrenlook,Allium cristophii,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allium hollandicum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allium macleanii,,,,,,,,,,,,,,,,,,,,,,,,,,
Goudlook,Allium moly,,zon,droog,,9.0,9.0,9.0,4.0,4.0,4.0,7.0,7.0,7.0,3.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,,,,
Italiaans look,Allium neapolitanum,,halfschaduw / zon,droog / vochtig,,7.333333333333333,6.0,8.0,4.333333333333333,4.0,5.0,9.25,8.0,11.0,6.666666666666667,6.0,7.0,7.333333333333333,6.0,8.0,0.3333333333333333,0.0,1.0,,,,
Moeslook,Allium oleraceum,ja,halfschaduw / zon,zeer droog / droog / vochtig,,7.25,6.0,9.0,3.4444444444444446,1.0,5.0,5.9375,4.0,8.0,3.7142857142857144,1.0,5.0,6.428571428571429,5.0,7.0,0.0,0.0,0.0,,,,
Moes- / Kraailook,Allium oleraceum / vineale,,,,,,,,,,,,,,,,,,,,,,,,,,
Armbloemig look,Allium paradoxum,nee,halfschaduw,vochtig,,6.0,6.0,6.0,5.0,5.0,5.0,6.666666666666667,6.0,8.0,7.0,7.0,7.0,6.333333333333333,5.0,7.0,0.3333333333333333,0.0,1.0,,,,
Hangende look,Allium pendulinum,,halfschaduw / zon,droog,,7.0,6.0,8.0,4.0,4.0,4.0,8.5,8.0,9.0,7.5,7.0,8.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
Chinese bieslook,Allium ramosum,,,,,,,,,,,,,,,,,,,,,,,,,,
Roze look,Allium roseum,,halfschaduw / zon,zeer droog / droog / vochtig,,7.4,6.0,9.0,3.4,1.0,5.0,8.6,7.0,11.0,4.8,2.0,7.0,7.0,6.0,8.0,0.0,0.0,0.0,,,,
Ronde look,Allium rotundum,,zon,droog / vochtig,,7.571428571428571,7.0,9.0,4.083333333333333,3.0,5.0,7.010416666666666,4.25,9.0,4.5,4.0,6.0,7.666666666666667,6.0,8.0,0.0,0.0,0.0,,,,
Bieslook,Allium schoenoprasum,ja,zon,vochtig / nat / zeer nat,,7.625,7.0,9.0,7.357142857142857,6.0,9.0,3.875,2.0,5.0,2.857142857142857,1.0,6.0,5.857142857142857,4.0,7.0,0.0,0.0,0.0,,,,
Slangenlook,Allium scorodoprasum,ja,halfschaduw / zon,droog / vochtig / nat,,6.428571428571429,6.0,7.0,5.571428571428571,3.0,7.0,6.107142857142857,4.75,8.0,6.666666666666667,5.0,7.0,6.833333333333333,6.0,7.0,0.0,0.0,0.0,,,,
,Allium siculum,,halfschaduw / zon,droog / vochtig,,6.5,5.0,8.0,4.0,3.0,5.0,7.5,7.0,8.0,5.0,4.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,,,,
,Allium siculum subsp. dioscoridis,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogellook,Allium sphaerocephalon,,zon,zeer droog / droog / vochtig,,8.722222222222221,8.0,9.0,2.71875,1.0,4.75,7.8125,5.5,11.0,2.0,1.0,3.0,7.857142857142857,7.0,8.0,0.0,0.0,0.0,,,,
,Allium stipitatum,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewimperde look,Allium subhirsutum,,halfschaduw / zon,droog,,7.0,6.0,8.0,4.0,4.0,4.0,9.333333333333334,8.0,11.0,6.333333333333333,5.0,7.0,7.333333333333333,6.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Allium trifoliatum,,zon,droog / vochtig,,7.666666666666667,7.0,9.0,4.333333333333333,3.0,6.0,9.25,8.0,11.0,6.333333333333333,6.0,7.0,8.0,7.0,9.0,0.3333333333333333,0.0,1.0,,,,
Driekantig look,Allium triquetrum,,halfschaduw,droog,,6.0,6.0,6.0,4.0,4.0,4.0,8.5,8.0,9.0,6.666666666666667,5.0,8.0,6.666666666666667,6.0,8.0,0.0,0.0,0.0,,,,
,Allium tuberosum,,,,,,,,,,,,,,,,,,,,,,,,,,
Daslook,Allium ursinum,ja,schaduw / halfschaduw,vochtig / nat / zeer nat,,3.0555555555555554,2.0,6.0,6.611111111111111,6.0,10.0,5.958333333333333,4.75,8.0,7.625,7.0,8.0,7.375,7.0,9.0,0.0,0.0,0.0,,,,
Kraailook,Allium vineale,ja,halfschaduw / zon,zeer droog / droog / vochtig,,6.444444444444445,5.0,9.0,4.083333333333333,1.0,5.75,6.444444444444445,5.0,7.0,6.375,4.0,7.0,6.4,5.0,8.0,0.25,0.0,1.0,,,,
Bochtig look,Allium zebdanense,,,,,,,,,,,,,,,,,,,,,,,,,,
Els (G),Alnus,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartbladige els,Alnus cordata,nee,zon,vochtig / nat,,7.5,7.0,8.0,6.5,6.0,7.0,6.333333333333333,6.0,7.0,6.5,6.0,7.0,6.5,6.0,7.0,0.0,0.0,0.0,10.0,4.0,6A,Löss | Zavel | Veen | Lichte klei | Zand | Leem
Zwarte els,Alnus glutinosa,ja,halfschaduw / zon,nat / zeer nat,,5.666666666666667,5.0,8.0,9.2,8.0,12.0,5.555555555555555,5.0,8.0,6.333333333333333,5.0,8.0,5.875,5.0,6.0,0.5714285714285714,0.0,1.0,10.0,6.0,3A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Witte els,Alnus incana,ja,halfschaduw / zon,nat,,6.0625,5.0,7.0,7.083333333333333,7.0,7.75,3.96875,3.0,5.0,5.8,4.0,7.0,7.285714285714286,6.0,8.0,0.0,0.0,0.0,12.0,6.0,2A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Alnus incana 'Laciniata',,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,2B,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Rode els,Alnus rubra,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
Zwarte els x Witte els,Alnus x pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,
Grootbladige els,Alnus x spaethii,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,6A,Löss | Zavel | Veen | Zware klei | Lichte klei | Zand | Leem | Alle grondsoorten
,Alonsoa,,,,,,,,,,,,,,,,,,,,,,,,,,
Gele alonsoa,Alonsoa meridionalis,,,,,,,,,,,,,,,,,,,,,,,,,,
Vossenstaart (G),Alopecurus,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosse vossenstaart,Alopecurus aequalis,ja,zon,nat / zeer nat,,8.444444444444445,8.0,9.0,9.1,8.0,12.0,4.291666666666667,2.0,5.0,7.5,4.0,9.0,5.2,4.0,7.0,0.42857142857142855,0.0,2.0,,,,
Rosse / Geknikte vossenstaart,Alopecurus aequalis / geniculatus,,,,,,,,,,,,,,,,,,,,,,,,,,
Knolvossenstaart,Alopecurus bulbosus,ja,zon,nat / zeer nat,,8.0,8.0,8.0,7.5,7.0,8.0,6.75,6.0,7.0,5.75,5.0,7.0,7.0,7.0,7.0,2.5,1.0,3.0,,,,
Geknikte vossenstaart,Alopecurus geniculatus,ja,halfschaduw / zon,nat / zeer nat,,8.0,6.0,9.0,8.34375,7.0,9.0,5.875,5.0,6.25,6.5,5.0,7.0,6.666666666666667,5.0,8.0,1.0,0.0,2.0,,,,
Duist,Alopecurus myosuroides,ja,halfschaduw / zon,zeer droog / droog / vochtig / nat,,7.0,6.0,9.0,5.03125,1.0,7.25,6.611111111111111,5.0,11.0,6.5,6.0,7.0,6.875,6.0,7.0,0.14285714285714285,0.0,1.0,,,,
Grote vossenstaart,Alopecurus pratensis,ja,halfschaduw / zon,zeer droog / droog / vochtig / nat,,6.888888888888889,6.0,9.0,5.675,1.0,7.75,4.708333333333333,3.0,6.0,6.5,3.0,7.0,5.75,4.0,6.0,0.375,0.0,1.0,,,,
,Alopecurus utriculatus,,zon,vochtig / nat,,8.0,8.0,8.0,6.5,6.0,7.0,8.0,7.0,10.0,5.0,4.0,6.0,7.666666666666667,7.0,8.0,1.3333333333333333,0.0,2.0,,,,
Geknikte vossenstaart x Grote vossenstaart,Alopecurus x brachystylus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alopecurus x plettkei,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternanthera,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternanthera bettzickiana,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternanthera caracasana,,,,,,,,,,,,,,,,,,,,,,,,,,
Alligatorkruid,Alternanthera philoxeroides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternanthera pungens,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternanthera sessilis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Althaea,,,,,,,,,,,,,,,,,,,,,,,,,,
Hennepheemst,Althaea cannabina,,halfschaduw / zon,droog / vochtig / nat,,7.9375,6.5,9.0,5.0,3.0,7.0,7.025,6.0,8.0,5.666666666666667,4.0,7.0,6.666666666666667,6.0,7.0,0.0,0.0,0.0,,,,
Heemst,Althaea officinalis,ja,halfschaduw / zon,vochtig / nat / zeer nat,,7.166666666666667,6.0,9.0,7.166666666666667,6.5,9.0,7.0,5.0,11.0,5.25,4.0,7.0,7.875,7.0,8.0,1.875,0.0,4.0,,,,
Schildzaad (G),Alyssum,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleek schildzaad,Alyssum alyssoides,ja,zon,zeer droog / droog / vochtig,,8.833333333333334,8.0,9.0,2.9166666666666665,1.0,4.5,6.142857142857143,6.0,7.0,1.8,1.0,3.0,7.8,7.0,8.0,0.0,0.0,0.0,,,,
,Alyssum argenteum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyssum desertorum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyssum montanum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyssum simplex,,zon,zeer droog / droog,,9.0,9.0,9.0,2.75,1.0,4.25,7.1875,5.75,9.0,2.0,2.0,2.0,7.0,5.0,8.0,0.0,0.0,0.0,,,,
,Alyssum strigosum,,zon,droog,,8.5,8.0,9.0,3.5,3.0,4.0,8.5,6.0,11.0,4.5,4.0,5.0,8.0,8.0,8.0,0.5,0.0,1.0,,,,
Amarant (G),Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,
Witte amarant,Amaranthus albus,ja,zon,zeer droog / droog / vochtig,,8.38888888888889,8.0,9.0,3.6666666666666665,2.0,5.0,8.222222222222221,6.0,11.0,7.25,7.0,8.0,7.0,6.0,8.0,0.75,0.0,1.0,,,,
Nerfamarant,Amaranthus blitoides,ja,zon,droog / vochtig,,8.8125,8.0,9.0,3.84375,3.0,6.0,7.611111111111111,6.5,11.0,8.0,7.0,9.0,7.2,7.0,8.0,0.2857142857142857,0.0,1.0,,,,
Kleine majer,Amaranthus blitum,ja,zon,droog / vochtig,,7.875,7.0,8.0,4.375,4.0,6.0,7.75,6.75,11.0,7.857142857142857,7.0,8.0,6.8,6.0,7.0,0.2857142857142857,0.0,1.0,,,,
,Amaranthus blitum subsp. blitum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus blitum subsp. emarginatus,,,,,,,,,,,,,,,,,,,,,,,,,,
Kattenstaartamarant,Amaranthus caudatus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus crispus,,zon,droog / vochtig,,8.666666666666666,8.0,9.0,4.333333333333333,4.0,5.0,7.75,7.0,8.0,7.666666666666667,7.0,8.0,6.333333333333333,6.0,7.0,0.6666666666666666,0.0,1.0,,,,
Olifantsamarant,Amaranthus cruentus,,,,,,,,,,,,,,,,,,,,,,,,,,
Liggende majer,Amaranthus deflexus,nee,zon,droog / vochtig,,8.0,8.0,8.0,4.142857142857143,4.0,5.0,8.875,7.0,11.0,7.428571428571429,7.0,9.0,7.0,6.0,8.0,0.2857142857142857,0.0,1.0,,,,
,Amaranthus dinteri,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaroen,Amaranthus dubius,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaanse amarant,Amaranthus graecizans,,zon,droog / vochtig,,8.479166666666666,7.0,9.0,4.052083333333334,3.0,5.75,8.407407407407408,6.0,11.0,7.904761904761904,7.0,8.0,7.761904761904761,7.0,9.0,0.14285714285714285,0.0,1.0,,,,
Franse / Basterdamarant,Amaranthus hybridus,,,,,,,,,,,,,,,,,,,,,,,,,,
Franse amarant,Amaranthus hybridus subsp. bouchonii,nee,,,,,,,,,,,,,,,,,,,,,,,,,
Basterdamarant,Amaranthus hybridus subsp. hybridus,nee,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus hybridus subsp. quitensis,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus hypochondriacus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus muricatus,,zon,droog,,8.0,8.0,8.0,4.0,4.0,4.0,7.5,7.0,8.0,7.5,7.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Tweehuizige amarant,Amaranthus palmeri,,,,,,,,,,,,,,,,,,,,,,,,,,
Papegaaienkruid,Amaranthus retroflexus,ja,zon,droog / vochtig,,8.0,7.0,9.0,4.59375,4.0,6.0,7.875,6.0,11.0,7.857142857142857,7.0,9.0,7.0,7.0,7.0,0.5714285714285714,0.0,1.0,,,,
,Amaranthus spinosus,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentijnse amarant,Amaranthus standleyanus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus tamariscinus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus thunbergii,,,,,,,,,,,,,,,,,,,,,,,,,,
Rode klaroen,Amaranthus tricolor,,,,,,,,,,,,,,,,,,,,,,,,,,
Oeveramarant,Amaranthus tuberculatus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus viridis,,zon,droog / vochtig,,8.0,8.0,8.0,4.666666666666667,4.0,6.0,9.0,8.0,11.0,8.0,8.0,8.0,7.0,6.0,8.0,0.3333333333333333,0.0,1.0,,,,
,Amaranthus watsonii,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amaranthus x ozanonii,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia (G),Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsemambrosia,Ambrosia artemisiifolia,nee,zon,zeer droog / droog / vochtig,,8.857142857142858,8.0,9.0,4.035714285714286,2.0,5.25,7.15625,6.0,9.0,6.166666666666667,6.0,7.0,7.6,7.0,8.0,0.16666666666666666,0.0,1.0,,,,
,Ambrosia maritima,,zon,vochtig,,8.5,8.0,9.0,5.5,5.0,6.0,9.0,7.0,11.0,5.5,5.0,6.0,8.0,8.0,8.0,1.5,1.0,2.0,,,,
Zandambrosia,Ambrosia psilostachya,nee,zon,droog,,8.8,8.0,9.0,3.4,3.0,4.0,7.5,6.0,8.0,5.0,4.0,8.0,7.75,7.0,8.0,0.2,0.0,1.0,,,,
Driedelige ambrosia,Ambrosia trifida,,,,,,,,,,,,,,,,,,,,,,,,,,
Krentenboompje (G),Amelanchier,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerikaans krentenboompje,Amelanchier lamarckii,ja,halfschaduw / zon,droog / vochtig,,6.666666666666667,6.0,8.0,4.666666666666667,4.0,5.0,6.75,6.0,8.0,3.3333333333333335,3.0,4.0,4.666666666666667,3.0,8.0,0.0,0.0,0.0,6.0,6.0,4A,Löss | Zavel | Lichte klei | Zand | Leem
Europees krentenboompje,Amelanchier ovalis,,zon,zeer droog / droog / vochtig,,7.5,7.0,9.0,3.357142857142857,1.0,5.0,6.761904761904761,5.0,9.0,3.0,1.0,4.0,8.083333333333332,7.0,9.0,0.0,0.0,0.0,,,,
Dwergkrentenboompje,Amelanchier spicata,,zon,droog / vochtig,,7.0,7.0,7.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,0.0,0.0,0.0,2.0,2.0,5A,Löss | Zavel | Zware klei | Lichte klei | Zand | Leem
,Amethystea caerulea,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkerscherm (G),Ammi,,,,,,,,,,,,,,,,,,,,,,,,,,
Groot akkerscherm,Ammi majus,nee,zon,zeer droog / droog,,7.666666666666667,7.0,9.0,3.6666666666666665,2.0,4.0,8.571428571428571,7.0,11.0,6.666666666666667,5.0,7.0,7.5,6.0,8.0,0.2,0.0,1.0,,,,
Fijn akkerscherm,Ammi visnaga,,zon,droog / vochtig,,8.5,8.0,9.0,5.0,4.0,6.0,8.5,8.0,9.0,7.0,7.0,7.0,6.5,6.0,7.0,0.0,0.0,0.0,,,,
,Ammobium,,,,,,,,,,,,,,,,,,,,,,,,,,
Zandbloem,Ammobium alatum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ammochloa pungens,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammophila (G),Ammophila,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigostruik,Amorpha fruticosa,,halfschaduw / zon,vochtig,,7.1,6.0,8.0,5.45,5.0,6.25,6.916666666666667,5.5,8.0,6.0,5.0,7.0,6.25,5.0,7.0,0.25,0.0,1.0,,,,
Amsinckia (G),Amsinckia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amsinckia lycopsoides,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amsinckia menziesii var. intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinbloemige amsinckia,Amsinckia micrantha,nee,,,,,,,,,,,,,,,,,,,,,,,,,
,Amsinckia tessellata,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacamptis (G),Anacamptis,,,,,,,,,,,,,,,,,,,,,,,,,,
Wantsenorchis,Anacamptis coriophora,ja,zon,zeer droog / droog / vochtig / nat,,7.78125,7.0,9.0,5.675925925925926,1.0,7.0,7.203703703703703,4.0,11.0,2.904761904761904,2.0,5.0,5.761904761904761,4.0,7.0,0.16666666666666666,0.0,1.0,,,,
Harlekijn,Anacamptis morio,ja,zon,zeer droog / droog / vochtig / nat,,7.611111111111111,7.0,9.0,3.7875,1.0,6.75,6.634259259259259,5.0,11.0,3.0625,2.0,5.0,6.28125,4.0,8.0,0.14285714285714285,0.0,1.0,,,,
Hondskruid,Anacamptis pyramidalis,ja,zon,zeer droog / droog / vochtig,,7.814814814814814,7.0,9.0,3.4444444444444446,2.0,5.0,6.888888888888889,3.0,11.0,2.458333333333334,1.0,4.0,8.166666666666666,6.0,9.0,0.0,0.0,0.0,,,,
,Anacyclus,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anacyclus clavatus,,zon,zeer droog / droog,,8.333333333333334,8.0,9.0,2.6666666666666665,1.0,4.0,7.666666666666667,6.0,9.0,5.666666666666667,5.0,6.0,5.333333333333333,4.0,6.0,0.0,0.0,0.0,,,,
,Anacyclus pyrethrum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anacyclus radiatus,,zon,droog,,8.0,8.0,8.0,3.5,3.0,4.0,8.5,8.0,9.0,5.5,5.0,6.0,6.0,5.0,7.0,0.0,0.0,0.0,,,,
,Anacyclus valentinus,,zon,droog,,8.0,8.0,8.0,3.0,3.0,3.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Guichelheil (G),Anagallis,,,,,,,,,,,,,,,,,,,,,,,,,,
Rood guichelheil / Blauw guichelheil,Anagallis arvensis,,halfschaduw / zon,zeer droog / droog / vochtig,,6.777777777777778,6.0,9.0,4.388888888888889,1.0,5.5,6.21875,5.75,8.0,5.3125,1.0,6.0,6.6,2.0,8.0,0.2857142857142857,0.0,1.0,,,,
Rood guichelheil,Anagallis arvensis subsp. arvensis,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Blauw guichelheil,Anagallis arvensis subsp. foemina,ja,,,,,,,,,,,,,,,,,,,,,,,,,
,Anagallis monelli,,zon,zeer droog,,9.0,9.0,9.0,1.5,1.0,2.0,8.5,7.0,10.0,2.5,1.0,4.0,3.5,2.0,5.0,0.0,0.0,0.0,,,,
Teer guichelheil,Anagallis tenella,ja,zon,nat / zeer nat,,7.714285714285714,7.0,9.0,8.875,8.0,11.0,6.857142857142857,5.0,11.0,2.0,1.0,3.0,4.8,4.0,6.0,0.0,0.0,0.0,,,,
,Anaphalis,,,,,,,,,,,,,,,,,,,,,,,,,,
Prachtrozenkransje,Anaphalis margaritacea,,,,,,,,,,,,,,,,,,,,,,,,,,
Ossentong (G),Anchusa,,,,,,,,,,,,,,,,,,,,,,,,,,
Kromhals,Anchusa arvensis,ja,,,,,,,,,,,,,,,,,,,,,,,,,
Blauwe ossentong,Anchusa azurea,,zon,zeer droog / droog / vochtig,,8.666666666666666,8.0,9.0,3.4583333333333335,1.0,5.75,8.321428571428571,6.25,11.0,5.2,4.0,7.0,7.2,7.0,8.0,0.0,0.0,0.0,,,,
Kaaps vergeet-mij-nietje,Anchusa capensis,,,,,,,,,,,,,,,,,,,,,,,,,,
Geelwitte ossentong,Anchusa ochroleuca,ja,zon,droog / vochtig,,8.0,8.0,8.0,3.875,3.0,4.75,7.0,5.0,9.0,6.0,6.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Gewone ossentong,Anchusa officinalis,ja,zon,droog / vochtig,,8.333333333333334,7.0,9.0,3.5,3.0,5.0,7.0,5.0,8.0,5.2,5.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Hoge ossentong,Anchusa procera,,zon,zeer droog / droog / vochtig,,7.833333333333333,7.0,9.0,3.75,2.0,5.25,6.75,5.25,9.0,3.5,2.0,5.0,8.0,7.0,9.0,0.0,0.0,0.0,,,,
,Anchusa undulata,,zon,zeer droog / droog,,8.0,7.0,9.0,2.0,1.0,3.0,7.5,7.0,8.0,5.5,4.0,7.0,5.5,5.0,6.0,0.0,0.0,0.0,,,,
,Anchusa undulata subsp. hybrida,,,,,,,,,,,,,,,,,,,,,,,,,,
Gewone x Geelwitte ossentong,Anchusa x baumgartenii,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromeda (G),Andromeda,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavendelhei,Andromeda polifolia,ja,zon,nat / zeer nat,,8.583333333333334,7.5,9.0,8.821428571428571,8.0,9.0,4.0,3.0,5.0,1.0,1.0,1.0,1.6,1.0,4.0,0.0,0.0,0.0,,,,
,Andropogon gerardii,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemoon (G),Anemone,,,,,,,,,,,,,,,,,,,,,,,,,,
Blauwe anemoon,Anemone apennina,ja,halfschaduw,droog / vochtig,,4.5,4.0,5.0,5.0,4.0,6.0,5.5,5.0,6.0,5.0,5.0,5.0,5.5,5.0,6.0,0.0,0.0,0.0,,,,
